OBJECTID,BldgID,Parcel_id,LOC_ID,Addrptid,FullAddr,Town,StrucType,Notes,SourceData,EditReason,AreaSqFt,BaseElev,LowHeight,TopHeight,last_edited_user,last_edited_date,GlobalID,IsActive,Shape__Area
10114,13674,103.0-0004-0001.0,F_747091_2983228,,31 WINDMILL LN,Arlington,Out Building,,,,152.0,245.68,253.8,255.1,ArlingtonMA_GIS,2023-10-24 20:02:07.930,527fbf1d-8003-4246-a7a4-d0912fa7af10,Y,151.605712890625
10115,13675,103.0-0004-0002.0,F_747034_2983160,ADDR-6550,24 ARROWHEAD LN,Arlington,Building,,,,2464.0,250.1,260.17,266.56,ArlingtonMA_GIS,2023-10-24 20:02:07.930,b9a1483d-3839-40ce-9505-35e9fe3da566,Y,2463.533935546875
10116,13676,103.0-0004-0003.0,F_746978_2983099,ADDR-6551,5 LONGMEADOW RD,Arlington,Building,,,,2327.0,254.17,266.67,274.03,ArlingtonMA_GIS,2023-10-24 20:02:07.930,a4d16a03-cb6d-4695-a768-a88423f90ead,Y,2327.179443359375
10117,13677,103.0-0005-0001.0,F_747085_2982878,ADDR-6552,14 ARROWHEAD LN,Arlington,Building,,,,2100.0,253.33,267.49,279.76,ArlingtonMA_GIS,2023-10-24 20:02:07.930,76d859a7-9654-428e-97c6-b2bd82fc7a31,Y,2099.77685546875
10118,13678,103.0-0005-0002.0,F_747045_2982961,ADDR-6553,4 LONGMEADOW RD,Arlington,Building,,,,2141.0,253.5,262.64,271.08,ArlingtonMA_GIS,2023-10-24 20:02:07.930,403e3119-74ee-4486-a8d2-5a306d7cb4f2,Y,2140.503173828125
10119,13679,104.0-0001-0001.A,F_746202_2983249,ADDR-6554,3 COUNTRY CLUB DR,Arlington,Building,,,,1689.0,291.75,301.17,308.73,ArlingtonMA_GIS,2023-10-24 20:02:07.930,e56fa8e6-c748-4930-b5a4-eaff2a72d220,Y,1689.486083984375
10120,13680,104.0-0001-0002.A,F_746280_2983288,ADDR-6555,19 FOX MEADOW LN,Arlington,Building,,,,1552.0,288.22,302.81,313.32,ArlingtonMA_GIS,2023-10-24 20:02:07.930,4570552c-e5cc-4df0-98ae-7b679e7c8a27,Y,1551.736328125
10121,13681,104.0-0001-0002.A,F_746280_2983288,,3 COUNTRY CLUB DR,Arlington,Out Building,,,,131.0,286.69,292.56,295.14,ArlingtonMA_GIS,2023-10-24 20:02:07.930,f60833c2-c5a5-45c1-a700-d79d20321e99,Y,130.709716796875
10122,13682,104.0-0002-0001.A,F_746708_2982987,ADDR-6556,25 OLD MIDDLESEX PATH,Arlington,Building,,,,1912.0,265.45,277.58,281.07,ArlingtonMA_GIS,2023-10-24 20:02:07.930,14cf1326-f151-4639-a7f7-2031cba516e5,Y,1911.66650390625
10123,13683,104.0-0002-0001.A,F_746708_2982987,,25 OLD MIDDLESEX PATH,Arlington,Out Building,,,,116.0,267.16,274.36,276.1,ArlingtonMA_GIS,2023-10-24 20:02:07.930,87fc4c48-444a-4ad4-b3fa-ca78ec5b9c7b,Y,115.5947265625
10124,13684,104.0-0002-0002.A,F_746716_2983103,ADDR-6557,21 OLD MIDDLESEX PATH,Arlington,Building,,,,2495.0,267.04,281.25,291.91,ArlingtonMA_GIS,2023-10-24 20:02:07.930,67047a9b-92bf-4a09-8d2e-7a010245d760,Y,2495.415283203125
10125,13685,104.0-0002-0002.A,F_746716_2983103,,21 OLD MIDDLESEX PATH,Arlington,Out Building,,,,104.0,269.48,277.58,277.77,ArlingtonMA_GIS,2023-10-24 20:02:07.930,43e3cb35-1c7e-45fb-81f4-0cd8616c7c10,Y,103.783203125
10126,13686,104.0-0002-0003.A,F_746625_2982974,ADDR-6558,21 LONGMEADOW RD,Arlington,Building,,,,2359.0,268.81,283.29,301.15,ArlingtonMA_GIS,2023-10-24 20:02:07.930,8427abc1-0433-4b06-bd02-63e6d6b48e82,Y,2359.049072265625
10127,13687,104.0-0002-0004.0,F_746550_2982978,ADDR-6559,25 LONGMEADOW RD,Arlington,Building,,,,1641.0,270.23,283.75,290.52,ArlingtonMA_GIS,2023-10-24 20:02:07.930,ca439dc4-6413-49b6-82ea-6c5ecfb2344e,Y,1640.941162109375
10128,13688,104.0-0002-0004.0,F_746550_2982978,,25 LONGMEADOW RD,Arlington,Out Building,,,,131.0,271.23,277.92,281.05,ArlingtonMA_GIS,2023-10-24 20:02:07.930,7dd22929-84f5-44d7-ae24-3710fb53554a,Y,131.32666015625
10129,13689,104.0-0002-0004.0,F_746550_2982978,,25 LONGMEADOW RD,Arlington,Out Building,,,,162.0,272.53,279.39,282.02,ArlingtonMA_GIS,2023-10-24 20:02:07.930,73642228-c78a-4ff4-b372-c648c5197732,Y,162.21630859375
10130,13690,104.0-0002-0005.0,F_746466_2982969,ADDR-6560,29 LONGMEADOW RD,Arlington,Building,,,,1543.0,272.82,290.31,304.62,ArlingtonMA_GIS,2023-10-24 20:02:07.930,46558abb-6567-470c-ba02-6aafde6676ef,Y,1542.768310546875
10131,13691,104.0-0002-0005.0,F_746466_2982969,,29 LONGMEADOW RD,Arlington,Out Building,,,,103.0,275.05,283.63,286.69,ArlingtonMA_GIS,2023-10-24 20:02:07.930,0748cbdc-0a92-49b4-aa30-c8298b44ef19,Y,103.361083984375
10132,13692,104.0-0002-0006.0,F_746377_2982954,ADDR-6561,33 LONGMEADOW RD,Arlington,Building,,,,1525.0,276.18,288.66,295.52,ArlingtonMA_GIS,2023-10-24 20:02:07.930,2d37ff39-b805-4a61-a8db-e13d32156e63,Y,1525.229248046875
10133,13693,104.0-0002-0006.0,F_746377_2982954,,28 FOX MEADOW LN,Arlington,Out Building,,,,107.0,281.52,289.17,292.1,ArlingtonMA_GIS,2023-10-24 20:02:07.930,eeceb7b3-2a1e-4909-894e-756c0598d0be,Y,106.884521484375
10134,13694,104.0-0002-0007.0,F_746313_2982896,ADDR-6562,35 LONGMEADOW RD,Arlington,Building,,,,2319.0,278.69,291.06,297.49,ArlingtonMA_GIS,2023-10-24 20:02:07.930,5aa92a09-b08d-4a60-8875-111970d97c59,Y,2319.365234375
10135,13695,104.0-0002-0008.0,F_746239_2982850,ADDR-6563,39 LONGMEADOW RD,Arlington,Building,,,,1183.0,280.41,295.66,301.64,ArlingtonMA_GIS,2023-10-24 20:02:07.930,7c86ed02-a0ae-4c90-8e9c-82433d807601,Y,1182.73779296875
10136,13696,104.0-0002-0009.0,F_746184_2982801,ADDR-6564,43 LONGMEADOW RD,Arlington,Building,,,,1372.0,281.2,290.82,301.08,ArlingtonMA_GIS,2023-10-24 20:02:07.930,fccff013-ed0b-49bb-ae19-a995c5cb1c6b,Y,1371.7861328125
10137,13697,104.0-0002-0009.0,F_746184_2982801,,43 LONGMEADOW RD,Arlington,Out Building,,,,85.0,281.75,288.64,291.08,ArlingtonMA_GIS,2023-10-24 20:02:07.930,6dd5f85a-93dd-47f8-981a-2f377d9e2bda,Y,85.498291015625
10138,13698,104.0-0002-0010.0,F_746137_2982744,ADDR-6565,47 LONGMEADOW RD,Arlington,Building,,,,1548.0,280.31,291.68,296.54,ArlingtonMA_GIS,2023-10-24 20:02:07.930,820aa14e-d719-476a-871e-05d348428128,Y,1547.9482421875
10139,13699,104.0-0002-0011.0,F_746087_2982661,ADDR-6566,51 LONGMEADOW RD,Arlington,Building,,,,1297.0,277.59,291.53,297.92,ArlingtonMA_GIS,2023-10-24 20:02:07.930,566555a0-706a-40dd-99d1-0b87c5899d63,Y,1297.414794921875
10140,13700,104.0-0002-0012.0,F_746026_2982713,ADDR-6567,343 RIDGE ST,Arlington,Building,,,,1186.0,279.03,291.34,301.33,ArlingtonMA_GIS,2023-10-24 20:02:07.930,e5238543-a59b-42fc-9807-d5570a06749e,Y,1186.287109375
10141,13701,104.0-0002-0012.0,F_746026_2982713,,343 RIDGE ST,Arlington,Building,,,,108.0,279.97,287.96,289.31,ArlingtonMA_GIS,2023-10-24 20:02:07.930,b751d42a-1550-4eb7-9a4c-ccf9870a6381,Y,108.19970703125
10142,13702,104.0-0002-0012.B,F_745972_2982773,ADDR-6568,44 FOX MEADOW LN,Arlington,Building,,,,1271.0,285.14,297.76,307.03,ArlingtonMA_GIS,2023-10-24 20:02:07.930,0aced6cb-bc10-432f-9bf4-e70d6d943615,Y,1271.30322265625
10143,13703,104.0-0002-0012.B,F_745972_2982773,,44 FOX MEADOW LN,Arlington,Out Building,,,,59.0,284.66,291.93,293.01,ArlingtonMA_GIS,2023-10-24 20:02:07.930,af8987b9-3395-4122-a9be-22d31175bfaa,Y,59.241455078125
10144,13704,104.0-0002-0013.0,F_746051_2982822,ADDR-6569,40 FOX MEADOW LN,Arlington,Building,,,,1957.0,288.04,304.27,311.98,ArlingtonMA_GIS,2023-10-24 20:02:07.930,5715c448-b1ef-4c9b-8b3a-f99c0db4129c,Y,1957.125
10145,13705,104.0-0002-0013.0,F_746051_2982822,,47 LONGMEADOW RD,Arlington,Out Building,,,,109.0,284.93,291.73,294.16,ArlingtonMA_GIS,2023-10-24 20:02:07.930,475c372a-27fb-4f41-874e-d724f31fce2b,Y,108.80029296875
10146,13706,104.0-0002-0014.0,F_746115_2982876,ADDR-6570,36 FOX MEADOW LN,Arlington,Building,,,,1235.0,288.99,303.56,310.38,ArlingtonMA_GIS,2023-10-24 20:02:07.930,73983c8b-fcb4-4f3a-b8f8-7a6d137b6511,Y,1235.013671875
10147,13707,104.0-0002-0015.0,F_746190_2982923,ADDR-6571,32 FOX MEADOW LN,Arlington,Building,,,,1430.0,287.29,299.26,308.78,ArlingtonMA_GIS,2023-10-24 20:02:07.930,80647554-4f59-4dd6-821e-78c9e0e55368,Y,1429.979248046875
10148,13708,104.0-0002-0016.0,F_746261_2982973,ADDR-6572,28 FOX MEADOW LN,Arlington,Building,,,,1937.0,286.22,309.66,320.98,ArlingtonMA_GIS,2023-10-24 20:02:07.930,7d37309b-1665-455e-b37f-751c2a8a7bc1,Y,1936.65966796875
10149,13709,104.0-0002-0017.A,F_746293_2983069,ADDR-6573,24 FOX MEADOW LN,Arlington,Building,,,,2578.0,289.02,299.25,307.76,ArlingtonMA_GIS,2023-10-24 20:02:07.930,24ed154b-20cb-4522-a48e-27665dee95d1,Y,2577.627685546875
10150,13710,104.0-0002-0017.A,F_746293_2983069,,28 FOX MEADOW LN,Arlington,Out Building,,,,121.0,284.51,289.82,292.63,ArlingtonMA_GIS,2023-10-24 20:02:07.930,a064d83b-7d4c-4ffc-aa77-d381fd69c3e2,Y,121.1787109375
10151,13711,104.0-0002-0018.A,F_746369_2983101,ADDR-6574,20 FOX MEADOW LN,Arlington,Building,,,,1935.0,287.45,305.89,319.05,ArlingtonMA_GIS,2023-10-24 20:02:07.930,8a6ae9c2-1f0a-4932-856f-ba454669723d,Y,1935.38818359375
10152,13712,104.0-0002-0019.0,F_746446_2983120,ADDR-6575,16 FOX MEADOW LN,Arlington,Building,,,,1951.0,285.88,300.59,308.44,ArlingtonMA_GIS,2023-10-24 20:02:07.930,1b9f5d21-3568-4c22-9db6-6e758ec4e148,Y,1951.2529296875
10153,13713,104.0-0002-0019.0,F_746446_2983120,,29 LONGMEADOW RD,Arlington,Out Building,,,,146.0,278.96,286.66,291.07,ArlingtonMA_GIS,2023-10-24 20:02:07.930,47e68247-160e-462f-a089-8224f2054a35,Y,145.694580078125
10154,13714,104.0-0002-0020.0,F_746525_2983134,ADDR-6576,12 FOX MEADOW LN,Arlington,Building,,,,1684.0,283.27,293.07,302.13,ArlingtonMA_GIS,2023-10-24 20:02:07.930,b92bec2e-4f74-4aef-b95d-deab001f626b,Y,1683.68115234375
10155,13715,104.0-0002-0020.0,F_746525_2983134,,12 FOX MEADOW LN,Arlington,Out Building,,,,148.0,276.58,283.81,286.61,ArlingtonMA_GIS,2023-10-24 20:02:07.930,02deca0a-0302-4859-8e23-3fbc7d1a00a9,Y,148.183837890625
10156,13716,104.0-0002-0021.0,F_746602_2983145,ADDR-6577,8 FOX MEADOW LN,Arlington,Building,,,,1812.0,279.83,294.93,300.39,ArlingtonMA_GIS,2023-10-24 20:02:07.930,6f16863b-0818-4528-8ccb-8b06b7384ad4,Y,1811.8876953125
10157,13717,104.0-0002-0021.0,F_746602_2983145,,21 OLD MIDDLESEX PATH,Arlington,Out Building,,,,149.0,273.06,280.3,282.1,ArlingtonMA_GIS,2023-10-24 20:02:07.930,f819fafb-84a1-4d55-9a82-11d23366bb03,Y,148.5703125
10158,13718,104.0-0003-0001.0,F_746633_2982822,ADDR-6578,20 LONGMEADOW RD,Arlington,Building,,,,1510.0,263.51,279.12,285.92,ArlingtonMA_GIS,2023-10-24 20:02:07.930,d695f28f-18de-4778-bad6-4a6438ef7db1,Y,1510.203369140625
10159,13719,104.0-0003-0001.0,F_746633_2982822,,20 LONGMEADOW RD,Arlington,Out Building,,,,131.0,260.3,266.92,269.72,ArlingtonMA_GIS,2023-10-24 20:02:07.930,43d3c329-0548-4c37-b852-c53f98bb22b5,Y,130.819091796875
10160,13720,104.0-0003-0002.0,F_746562_2982825,ADDR-6579,24 LONGMEADOW RD,Arlington,Building,,,,1851.0,265.72,290.85,300.95,ArlingtonMA_GIS,2023-10-24 20:02:07.930,90d3987f-0d72-48fc-9388-872f791f7393,Y,1850.84716796875
10161,13721,104.0-0003-0002.0,F_746562_2982825,,20 LONGMEADOW RD,Arlington,Out Building,,,,137.0,261.05,269.51,272.96,ArlingtonMA_GIS,2023-10-24 20:02:07.930,3d3edb78-8851-4304-abe7-653d7d9fa774,Y,137.08984375
10162,13722,104.0-0003-0003.0,F_746496_2982825,ADDR-6580,28 LONGMEADOW RD,Arlington,Building,,,,1305.0,268.41,284.44,299.06,ArlingtonMA_GIS,2023-10-24 20:02:07.930,4e40272a-ecf2-4b3b-993c-6d65a6d7103e,Y,1305.12744140625
10163,13723,104.0-0003-0004.0,F_746437_2982807,ADDR-6581,32 LONGMEADOW RD,Arlington,Building,,,,1228.0,271.65,287.03,294.02,ArlingtonMA_GIS,2023-10-24 20:02:07.930,e1cf811c-2855-4af4-a2bb-91ad0e370ad3,Y,1228.440673828125
10164,13724,104.0-0003-0005.0,F_746381_2982774,ADDR-6582,36 LONGMEADOW RD,Arlington,Building,,,,1377.0,273.47,290.18,301.58,ArlingtonMA_GIS,2023-10-24 20:02:07.930,427b4f28-b0c6-4f32-b555-ea91ec9ed1ac,Y,1376.954833984375
10165,13725,104.0-0003-0006.0,F_746329_2982735,ADDR-6583,40 LONGMEADOW RD,Arlington,Building,,,,1257.0,276.63,292.55,298.43,ArlingtonMA_GIS,2023-10-24 20:02:07.930,7df2908b-44af-42b6-9a58-96cc8458d95e,Y,1256.88525390625
10166,13726,104.0-0003-0007.0,F_746284_2982689,ADDR-6584,44 LONGMEADOW RD,Arlington,Building,,,,1115.0,277.31,293.47,299.42,ArlingtonMA_GIS,2023-10-24 20:02:07.930,68f4233b-c1d3-4cc1-962a-8f46ef398702,Y,1114.594970703125
10167,13727,104.0-0003-0007.0,F_746284_2982689,,48 LONGMEADOW RD,Arlington,Out Building,,,,78.0,268.5,274.42,277.1,ArlingtonMA_GIS,2023-10-24 20:02:07.930,bfeb923e-6f90-4df9-a28d-1c08b7ef0e86,Y,78.05615234375
10168,13728,104.0-0003-0008.0,F_746243_2982637,ADDR-6585,48 LONGMEADOW RD,Arlington,Building,,,,1372.0,274.85,291.56,301.76,ArlingtonMA_GIS,2023-10-24 20:02:07.930,8a3ac020-02dd-44f0-8f31-d29fac46f323,Y,1372.368896484375
10169,13729,104.0-0003-0009.0,F_746169_2982577,ADDR-6586,52 LONGMEADOW RD,Arlington,Building,,,,1544.0,275.79,288.72,297.17,ArlingtonMA_GIS,2023-10-24 20:02:07.930,7efe2e89-1067-453f-a2a9-7839ac064a14,Y,1544.4404296875
10170,13730,104.0-0003-0010.A,F_746717_2982830,ADDR-6587,16 LONGMEADOW RD,Arlington,Building,,,,1740.0,262.94,271.9,281.17,ArlingtonMA_GIS,2023-10-24 20:02:07.930,dcf6ac22-f645-4704-9a3d-42d0860bfbd4,Y,1739.862060546875
10171,13731,104.0-0003-0011.A,F_746608_2982712,ADDR-6588,22 CHEROKEE RD,Arlington,Building,,,,1649.0,259.38,271.28,279.73,ArlingtonMA_GIS,2023-10-24 20:02:07.930,50d937fc-7892-4b38-a916-e9a40336b802,Y,1649.0390625
10172,13732,104.0-0003-0011.A,F_746608_2982712,,22 CHEROKEE RD,Arlington,Out Building,,,,125.0,260.35,266.67,268.01,ArlingtonMA_GIS,2023-10-24 20:02:07.930,76d0352f-7be2-48ad-9743-9331afb0a4df,Y,124.601806640625
10173,13733,104.0-0003-0012.0,F_746521_2982708,,18 CHEROKEE RD,Arlington,Out Building,,,,87.0,259.81,265.93,269.63,ArlingtonMA_GIS,2023-10-24 20:02:07.930,f2de5a83-17d2-46c4-9871-52bc6fcb1dcb,Y,86.75634765625
10174,13734,104.0-0003-0012.0,F_746521_2982708,ADDR-6589,18 CHEROKEE RD,Arlington,Building,,,,1293.0,259.82,271.26,279.44,ArlingtonMA_GIS,2023-10-24 20:02:07.930,67c8a0c0-281c-4229-9e96-6ba2f6f86953,Y,1293.22412109375
10175,13735,104.0-0003-0013.0,F_746439_2982670,ADDR-6590,14 CHEROKEE RD,Arlington,Building,,,,2031.0,261.42,271.09,280.88,ArlingtonMA_GIS,2023-10-24 20:02:07.930,22b0b1ea-3dd0-4b85-b63d-0c4b85f4356f,Y,2030.78125
10176,13736,104.0-0003-0014.0,F_746369_2982614,ADDR-6591,10 CHEROKEE RD,Arlington,Building,,,,1665.0,263.53,276.77,283.76,ArlingtonMA_GIS,2023-10-24 20:02:07.930,6fd443d9-f215-44c3-b278-a7c1676e883e,Y,1665.05517578125
10177,13737,104.0-0003-0014.0,F_746369_2982614,,10 CHEROKEE RD,Arlington,Out Building,,,,100.0,267.37,274.27,276.29,ArlingtonMA_GIS,2023-10-24 20:02:07.930,20601197-e4b0-48fe-be2d-d8515dcd1081,Y,100.274658203125
10178,13738,104.0-0003-0015.A,F_746311_2982555,ADDR-6592,6 CHEROKEE RD,Arlington,Building,,,,1586.0,264.42,275.59,285.92,ArlingtonMA_GIS,2023-10-24 20:02:07.930,19956006-f20a-4c7c-8089-17ddd0c747de,Y,1585.78662109375
10179,13739,104.0-0003-0016.A,F_746253_2982486,ADDR-6593,2 CHEROKEE RD,Arlington,Building,,,,1309.0,261.91,271.35,278.27,ArlingtonMA_GIS,2023-10-24 20:02:07.930,035a491a-6a5e-47e6-8d11-4f0447ae71df,Y,1309.3125
10180,13740,104.0-0003-0017.0,F_746208_2982525,ADDR-6594,339 RIDGE ST,Arlington,Building,,,,1189.0,268.83,280.59,285.02,ArlingtonMA_GIS,2023-10-24 20:02:07.930,ad9b7bdf-9e7a-4807-add2-b14b4f0f534f,Y,1189.4638671875
10181,13741,104.0-0004-0001.A,F_746386_2982087,ADDR-6595,310 RIDGE ST,Arlington,Building,,,,967.0,266.45,277.98,291.03,ArlingtonMA_GIS,2023-10-24 20:02:07.930,568cf3bc-bfcd-47fa-a4aa-d67d8faecbe4,Y,966.616455078125
10182,13742,104.0-0004-0002.0,F_746344_2982127,ADDR-6596,314 RIDGE ST,Arlington,Building,,,,1578.0,263.84,275.92,281.02,ArlingtonMA_GIS,2023-10-24 20:02:07.930,840f5e24-d4b2-4c22-8930-f6062e4c8951,Y,1578.200439453125
10183,13743,102.0-0007-0002.0,F_746227_2982122,,23 TERESA CIR,Arlington,Out Building,,,,89.0,255.38,263.29,266.06,ArlingtonMA_GIS,2023-10-24 20:02:07.930,002b1d36-087b-492b-a51c-fc2c45b3ba3c,Y,88.59521484375
10184,13744,104.0-0004-0003.0,F_746303_2982174,ADDR-6597,318 RIDGE ST,Arlington,Building,,,,1386.0,260.87,272.44,277.61,ArlingtonMA_GIS,2023-10-24 20:02:07.930,13756c7e-c748-4e37-8645-c45e270cfd93,Y,1385.5673828125
10185,13745,104.0-0004-0004.0,F_746257_2982225,ADDR-6598,322 RIDGE ST,Arlington,Building,,,,2395.0,255.57,278.0,292.79,ArlingtonMA_GIS,2023-10-24 20:02:07.930,9763ce78-21ea-447d-9465-089515f9397a,Y,2395.16748046875
10186,13746,104.0-0005-0001.A,F_746545_2982345,ADDR-6599,44 OLD COLONY RD,Arlington,Building,,,,1970.0,269.83,284.51,288.71,ArlingtonMA_GIS,2023-10-24 20:02:07.930,af898b6f-e567-4e33-b46c-aaba035bae62,Y,1969.7255859375
10187,13747,104.0-0005-0001.B,F_746490_2982388,ADDR-6600,46 OLD COLONY RD,Arlington,Building,,,,1165.0,264.97,278.81,284.48,ArlingtonMA_GIS,2023-10-24 20:02:07.930,9aa9269b-d073-4c14-ad0c-456473f23892,Y,1165.086181640625
10188,13748,104.0-0005-0001.B,F_746490_2982388,,46 OLD COLONY RD,Arlington,Out Building,,,,52.0,265.4,271.13,271.79,ArlingtonMA_GIS,2023-10-24 20:02:07.930,5a600581-6b1c-491c-866c-0b0576788a99,Y,52.377197265625
10189,13749,104.0-0005-0002.0,F_746414_2982441,ADDR-6601,50 OLD COLONY RD,Arlington,Building,,,,2410.0,263.43,274.11,280.7,ArlingtonMA_GIS,2023-10-24 20:02:07.930,b24b83e9-54aa-4943-9f12-ec94e7b21232,Y,2409.9267578125
