Year,LandUseCode,BuildingValue,YardValue,LandValue,Acres,SpecialLand,TotalValue,anum,FullAddress,ParcelID
2026,102  - Condo,1411300,0,0,0.00,0.0,1411300,16986,65 APPLETON ST #B,165.0-0005-0017.0
2025,102  - Condo,1357700,0,0,0.00,0.0,1357700,16986,65 APPLETON ST #B,165.0-0005-0017.0
2026,101  - One Family,370800,1400,498200,"5,312.00",0.0,870400,13070,268 APPLETON ST,169.0-0007-0003.0
2025,101  - One Family,376200,1400,475100,"5,312.00",0.0,852700,13070,268 APPLETON ST,169.0-0007-0003.0
2024,101  - One Family,343300,1000,475100,"5,312.00",0.0,819400,13070,268 APPLETON ST,169.0-0007-0003.0
2023,101  - One Family,330700,1000,422900,"5,312.00",0.0,754600,13070,268 APPLETON ST,169.0-0007-0003.0
2022,101  - One Family,298300,1000,405600,"5,312.00",0.0,704900,13070,268 APPLETON ST,169.0-0007-0003.0
2021,101  - One Family,289300,1000,405600,"5,312.00",0.0,695900,13070,268 APPLETON ST,169.0-0007-0003.0
2020,101  - One Family,289400,1000,405600,"5,312.00",0.0,696000,13070,268 APPLETON ST,169.0-0007-0003.0
2019,101  - One Family,232100,1000,405600,"5,312.00",0.0,638700,13070,268 APPLETON ST,169.0-0007-0003.0
2018,101  - One Family,233900,1000,341800,"5,312.00",0.0,576700,13070,268 APPLETON ST,169.0-0007-0003.0
2017,101  - One Family,233900,1000,312900,"5,312.00",0.0,547800,13070,268 APPLETON ST,169.0-0007-0003.0
2016,101  - One Family,233900,1000,266500,"5,312.00",0.0,501400,13070,268 APPLETON ST,169.0-0007-0003.0
2015,101  - One Family,220900,1000,231700,"5,312.00",0.0,453600,13070,268 APPLETON ST,169.0-0007-0003.0
2014,101  - One Family,220900,1000,214400,"5,312.00",0.0,436300,13070,268 APPLETON ST,169.0-0007-0003.0
2013,101  - One Family,220900,1000,203900,"5,312.00",0.0,425800,13070,268 APPLETON ST,169.0-0007-0003.0
2012,101  - One Family,249000,1000,185400,"5,312.00",0.0,435400,13070,268 APPLETON ST,169.0-0007-0003.0
2011,101  - One Family,249000,1000,185400,"5,312.00",0.0,435400,13070,268 APPLETON ST,169.0-0007-0003.0
2010,101  - One Family,249000,1000,185400,"5,312.00",0.0,435400,13070,268 APPLETON ST,169.0-0007-0003.0
2009,101  - One Family,235400,0,187100,"5,312.00",0.0,422500,13070,268 APPLETON ST,169.0-0007-0003.0
2008,101  - One Family,245200,0,187100,"5,312.00",0.0,432300,13070,268 APPLETON ST,169.0-0007-0003.0
2007,101  - One Family,258100,0,197000,"5,312.00",0.0,455100,13070,268 APPLETON ST,169.0-0007-0003.0
2006,101  - One Family,247000,0,159700,"5,312.00",0.0,406700,13070,268 APPLETON ST,169.0-0007-0003.0
2005,101  - One Family,233000,0,156400,"5,312.00",0.0,389400,13070,268 APPLETON ST,169.0-0007-0003.0
2004,101  - One Family,233000,0,156400,"5,312.00",0.0,389400,13070,268 APPLETON ST,169.0-0007-0003.0
2003,101  - One Family,158700,0,127500,"5,312.00",0.0,286200,13070,268 APPLETON ST,169.0-0007-0003.0
2002,101  - One Family,158700,0,115900,"5,312.00",0.0,274600,13070,268 APPLETON ST,169.0-0007-0003.0
2001,101  - One Family,158700,0,115900,"5,312.00",0.0,274600,13070,268 APPLETON ST,169.0-0007-0003.0
2000,101  - One Family,98900,0,94600,0.12,0.0,193500,13070,268 APPLETON ST,169.0-0007-0003.0
1999,101  - One Family,98900,0,94600,,0.0,193500,13070,268 APPLETON ST,169.0-0007-0003.0
1998,101  - One Family,98900,0,86000,,0.0,184900,13070,268 APPLETON ST,169.0-0007-0003.0
1997,101  - One Family,92800,0,77400,,0.0,170200,13070,268 APPLETON ST,169.0-0007-0003.0
1996,101  - One Family,92800,0,77400,,0.0,170200,13070,268 APPLETON ST,169.0-0007-0003.0
1995,101  - One Family,92800,0,77400,,0.0,170200,13070,268 APPLETON ST,169.0-0007-0003.0
1994,101  - One Family,105200,0,75100,,0.0,180300,13070,268 APPLETON ST,169.0-0007-0003.0
1993,101  - One Family,105200,0,75100,,0.0,180300,13070,268 APPLETON ST,169.0-0007-0003.0
1992,101  - One Family,108500,0,77400,,0.0,185900,13070,268 APPLETON ST,169.0-0007-0003.0
2026,101  - One Family,352500,4500,518100,"6,560.00",0.0,875100,14110,450 APPLETON ST,179.0-0006-0004.0
2025,101  - One Family,347300,4500,493400,"6,560.00",0.0,845200,14110,450 APPLETON ST,179.0-0006-0004.0
2024,101  - One Family,316300,3800,474900,"6,560.00",0.0,795000,14110,450 APPLETON ST,179.0-0006-0004.0
2023,101  - One Family,269100,3800,444100,"6,560.00",0.0,717000,14110,450 APPLETON ST,179.0-0006-0004.0
2022,"959  - Housing, Oth",257000,3800,431800,"6,560.00",0.0,692600,14110,450 APPLETON ST,179.0-0006-0004.0
2021,"959  - Housing, Oth",248300,3800,431800,"6,560.00",0.0,683900,14110,450 APPLETON ST,179.0-0006-0004.0
2020,"959  - Housing, Oth",248400,3800,431800,"6,560.00",0.0,684000,14110,450 APPLETON ST,179.0-0006-0004.0
2019,"959  - Housing, Oth",206100,3800,425600,"6,560.00",0.0,635500,14110,450 APPLETON ST,179.0-0006-0004.0
2018,"959  - Housing, Oth",206100,3800,326900,"6,560.00",0.0,536800,14110,450 APPLETON ST,179.0-0006-0004.0
2017,"959  - Housing, Oth",206100,3800,308400,"6,560.00",0.0,518300,14110,450 APPLETON ST,179.0-0006-0004.0
2016,905  - Charitable,206100,3800,283700,"6,560.00",0.0,493600,14110,450 APPLETON ST,179.0-0006-0004.0
2015,905  - Charitable,193500,3800,265200,"6,560.00",0.0,462500,14110,450 APPLETON ST,179.0-0006-0004.0
2014,905  - Charitable,193500,3800,244300,"6,560.00",0.0,441600,14110,450 APPLETON ST,179.0-0006-0004.0
2013,905  - Charitable,193500,3800,244300,"6,560.00",0.0,441600,14110,450 APPLETON ST,179.0-0006-0004.0
2012,905  - Charitable,203700,7500,203500,"6,560.00",0.0,414700,14110,450 APPLETON ST,179.0-0006-0004.0
2011,905  - Charitable,203700,7500,203500,"6,560.00",0.0,414700,14110,450 APPLETON ST,179.0-0006-0004.0
2010,905  - Charitable,203700,7500,203500,"6,560.00",0.0,414700,14110,450 APPLETON ST,179.0-0006-0004.0
2009,905  - Charitable,204200,7500,203400,"6,560.00",0.0,415100,14110,450 APPLETON ST,179.0-0006-0004.0
2008,905  - Charitable,204200,7500,203400,"6,560.00",0.0,415100,14110,450 APPLETON ST,179.0-0006-0004.0
2007,905  - Charitable,210500,7500,209700,"6,560.00",0.0,427700,14110,450 APPLETON ST,179.0-0006-0004.0
2006,905  - Charitable,194700,7500,160400,"6,560.00",0.0,362600,14110,450 APPLETON ST,179.0-0006-0004.0
2005,905  - Charitable,194700,7500,160400,"6,560.00",0.0,362600,14110,450 APPLETON ST,179.0-0006-0004.0
2004,905  - Charitable,194700,7500,160400,"6,560.00",0.0,362600,14110,450 APPLETON ST,179.0-0006-0004.0
2003,905  - Charitable,147800,3800,132600,"6,560.00",0.0,284200,14110,450 APPLETON ST,179.0-0006-0004.0
2002,905  - Charitable,147800,3800,117200,"6,560.00",0.0,268800,14110,450 APPLETON ST,179.0-0006-0004.0
2001,905  - Charitable,147800,3800,117200,"6,560.00",0.0,268800,14110,450 APPLETON ST,179.0-0006-0004.0
2000,905  - Charitable,104200,0,92900,0.15,0.0,197100,14110,450 APPLETON ST,179.0-0006-0004.0
1999,905  - Charitable,104200,0,92900,,0.0,197100,14110,450 APPLETON ST,179.0-0006-0004.0
1998,905  - Charitable,104200,0,92900,,0.0,197100,14110,450 APPLETON ST,179.0-0006-0004.0
1997,905  - Charitable,81500,0,84100,,0.0,165600,14110,450 APPLETON ST,179.0-0006-0004.0
1996,905  - Charitable,81500,0,84100,,0.0,165600,14110,450 APPLETON ST,179.0-0006-0004.0
1995,905  - Charitable,81500,0,84100,,0.0,165600,14110,450 APPLETON ST,179.0-0006-0004.0
1994,905  - Charitable,81500,0,84100,,0.0,165600,14110,450 APPLETON ST,179.0-0006-0004.0
1993,905  - Charitable,81500,0,84100,,0.0,165600,14110,450 APPLETON ST,179.0-0006-0004.0
1992,905  - Charitable,81500,0,84100,,0.0,165600,14110,450 APPLETON ST,179.0-0006-0004.0
2026,102  - Condo,459800,0,0,0.00,0.0,459800,12835,49-53 APPLETON ST #10,165.0-0005-0015.A
2025,102  - Condo,442700,0,0,0.00,0.0,442700,12835,49-53 APPLETON ST #10,165.0-0005-0015.A
2024,102  - Condo,400100,0,0,0.00,0.0,400100,12835,49-53 APPLETON ST #10,165.0-0005-0015.A
2023,102  - Condo,385700,0,0,0.00,0.0,385700,12835,49-53 APPLETON ST #10,165.0-0005-0015.A
2022,102  - Condo,375200,0,0,0.00,0.0,375200,12835,49-53 APPLETON ST #10,165.0-0005-0015.A
2021,102  - Condo,364600,0,0,0.00,0.0,364600,12835,49-53 APPLETON ST #10,165.0-0005-0015.A
2020,102  - Condo,359400,0,0,0.00,0.0,359400,12835,49-53 APPLETON ST #10,165.0-0005-0015.A
2019,102  - Condo,352200,0,0,0.00,0.0,352200,12835,49-53 APPLETON ST #10,165.0-0005-0015.A
2018,102  - Condo,312100,0,0,0.00,0.0,312100,12835,49-53 APPLETON ST #10,165.0-0005-0015.A
2017,102  - Condo,256400,0,0,0.00,0.0,256400,12835,49-53 APPLETON ST #10,165.0-0005-0015.A
2016,102  - Condo,242200,0,0,0.00,0.0,242200,12835,49-53 APPLETON ST #10,165.0-0005-0015.A
2015,102  - Condo,237300,0,0,0.00,0.0,237300,12835,49-53 APPLETON ST #10,165.0-0005-0015.A
2014,102  - Condo,226600,0,0,0.00,0.0,226600,12835,49-53 APPLETON ST #10,165.0-0005-0015.A
2013,102  - Condo,226600,0,0,0.00,0.0,226600,12835,49-53 APPLETON ST #10,165.0-0005-0015.A
2012,102  - Condo,239900,0,0,0.00,0.0,239900,12835,49-53 APPLETON ST #10,165.0-0005-0015.A
2011,102  - Condo,239900,0,0,0.00,0.0,239900,12835,49-53 APPLETON ST #10,165.0-0005-0015.A
2010,102  - Condo,283000,0,0,0.00,0.0,283000,12835,49-53 APPLETON ST #10,165.0-0005-0015.A
2009,102  - Condo,291600,0,0,0.00,0.0,291600,12835,49-53 APPLETON ST #10,165.0-0005-0015.A
2008,102  - Condo,293600,0,0,0.00,0.0,293600,12835,49-53 APPLETON ST #10,165.0-0005-0015.A
2007,102  - Condo,302700,0,0,0.00,0.0,302700,12835,49-53 APPLETON ST #10,165.0-0005-0015.A
2006,102  - Condo,259200,0,0,0.00,0.0,259200,12835,49-53 APPLETON ST #10,165.0-0005-0015.A
2005,102  - Condo,246900,0,0,0.00,0.0,246900,12835,49-53 APPLETON ST #10,165.0-0005-0015.A
2004,102  - Condo,246900,0,0,0.00,0.0,246900,12835,49-53 APPLETON ST #10,165.0-0005-0015.A
2003,102  - Condo,178800,0,0,0.00,0.0,178800,12835,49-53 APPLETON ST #10,165.0-0005-0015.A
2002,102  - Condo,172900,0,0,0.00,0.0,172900,12835,49-53 APPLETON ST #10,165.0-0005-0015.A
2001,102  - Condo,172900,0,0,0.00,0.0,172900,12835,49-53 APPLETON ST #10,165.0-0005-0015.A
2000,102  - Condo,146250,0,0,0.00,0.0,146250,12835,49-53 APPLETON ST #10,165.0-0005-0015.A
1999,102  - Condo,146250,0,0,,0.0,146250,12835,49-53 APPLETON ST #10,165.0-0005-0015.A
1998,102  - Condo,0,0,0,,0.0,0,12835,49-53 APPLETON ST #10,165.0-0005-0015.A
2026,105  - Three Fam.,654600,7700,757100,"11,237.00",0.0,1419400,12760,83 APPLETON ST,165.0-0002-0006.B
2025,105  - Three Fam.,635400,7700,704100,"11,237.00",0.0,1347200,12760,83 APPLETON ST,165.0-0002-0006.B
2024,105  - Three Fam.,587200,6700,666300,"11,237.00",0.0,1260200,12760,83 APPLETON ST,165.0-0002-0006.B
2023,105  - Three Fam.,627300,6700,583000,"11,237.00",0.0,1217000,12760,83 APPLETON ST,165.0-0002-0006.B
2022,105  - Three Fam.,621800,6700,530000,"11,237.00",0.0,1158500,12760,83 APPLETON ST,165.0-0002-0006.B
2021,105  - Three Fam.,594400,6700,530000,"11,237.00",0.0,1131100,12760,83 APPLETON ST,165.0-0002-0006.B
2020,105  - Three Fam.,594500,6700,530000,"11,237.00",0.0,1131200,12760,83 APPLETON ST,165.0-0002-0006.B
2019,105  - Three Fam.,462900,6700,530000,"11,237.00",0.0,999600,12760,83 APPLETON ST,165.0-0002-0006.B
2018,105  - Three Fam.,462900,6700,469400,"11,237.00",0.0,939000,12760,83 APPLETON ST,165.0-0002-0006.B
2017,105  - Three Fam.,435600,6700,393700,"11,237.00",0.0,836000,12760,83 APPLETON ST,165.0-0002-0006.B
2016,105  - Three Fam.,435600,6700,393700,"11,237.00",0.0,836000,12760,83 APPLETON ST,165.0-0002-0006.B
2015,105  - Three Fam.,390700,6800,340700,"11,237.00",0.0,738200,12760,83 APPLETON ST,165.0-0002-0006.B
2014,105  - Three Fam.,390700,6800,329300,"11,237.00",0.0,726800,12760,83 APPLETON ST,165.0-0002-0006.B
2013,105  - Three Fam.,405500,6800,313400,"11,237.00",0.0,725700,12760,83 APPLETON ST,165.0-0002-0006.B
2012,105  - Three Fam.,425400,15200,272600,"11,237.00",0.0,713200,12760,83 APPLETON ST,165.0-0002-0006.B
2011,105  - Three Fam.,425400,15200,272600,"11,237.00",0.0,713200,12760,83 APPLETON ST,165.0-0002-0006.B
2010,105  - Three Fam.,488900,15200,272600,"11,237.00",0.0,776700,12760,83 APPLETON ST,165.0-0002-0006.B
2009,105  - Three Fam.,536000,10200,267100,"11,237.00",0.0,813300,12760,83 APPLETON ST,165.0-0002-0006.B
2008,105  - Three Fam.,546400,10200,274500,"11,237.00",0.0,831100,12760,83 APPLETON ST,165.0-0002-0006.B
2007,105  - Three Fam.,552200,10200,280100,"11,237.00",0.0,842500,12760,83 APPLETON ST,165.0-0002-0006.B
2006,105  - Three Fam.,565500,11100,247600,"11,237.00",0.0,824200,12760,83 APPLETON ST,165.0-0002-0006.B
2005,105  - Three Fam.,520800,10200,227100,"11,237.00",0.0,758100,12760,83 APPLETON ST,165.0-0002-0006.B
2004,105  - Three Fam.,520800,10200,227100,"11,237.00",0.0,758100,12760,83 APPLETON ST,165.0-0002-0006.B
2003,105  - Three Fam.,313500,5100,193100,"11,237.00",0.0,511700,12760,83 APPLETON ST,165.0-0002-0006.B
2002,105  - Three Fam.,313500,5100,159000,"11,237.00",0.0,477600,12760,83 APPLETON ST,165.0-0002-0006.B
2001,105  - Three Fam.,313500,5100,159000,"11,237.00",0.0,477600,12760,83 APPLETON ST,165.0-0002-0006.B
2000,105  - Three Fam.,210400,0,125300,0.26,0.0,335700,12760,83 APPLETON ST,165.0-0002-0006.B
1999,105  - Three Fam.,210400,0,125300,,0.0,335700,12760,83 APPLETON ST,165.0-0002-0006.B
1998,105  - Three Fam.,210400,0,113900,,0.0,324300,12760,83 APPLETON ST,165.0-0002-0006.B
1997,105  - Three Fam.,200500,0,102500,,0.0,303000,12760,83 APPLETON ST,165.0-0002-0006.B
1996,105  - Three Fam.,200500,0,102500,,0.0,303000,12760,83 APPLETON ST,165.0-0002-0006.B
1995,105  - Three Fam.,200500,0,102500,,0.0,303000,12760,83 APPLETON ST,165.0-0002-0006.B
1994,105  - Three Fam.,216000,0,103200,,0.0,319200,12760,83 APPLETON ST,165.0-0002-0006.B
1993,105  - Three Fam.,216000,0,103200,,0.0,319200,12760,83 APPLETON ST,165.0-0002-0006.B
1992,105  - Three Fam.,216000,0,103200,,0.0,319200,12760,83 APPLETON ST,165.0-0002-0006.B
2026,101  - One Family,290600,0,470800,"4,248.00",0.0,761400,13075,244 APPLETON ST,169.0-0007-0009.0
2025,101  - One Family,294500,0,448900,"4,248.00",0.0,743400,13075,244 APPLETON ST,169.0-0007-0009.0
2024,101  - One Family,268400,0,448900,"4,248.00",0.0,717300,13075,244 APPLETON ST,169.0-0007-0009.0
2023,101  - One Family,257100,0,399600,"4,248.00",0.0,656700,13075,244 APPLETON ST,169.0-0007-0009.0
2022,101  - One Family,233900,0,383200,"4,248.00",0.0,617100,13075,244 APPLETON ST,169.0-0007-0009.0
2021,101  - One Family,227400,0,383200,"4,248.00",0.0,610600,13075,244 APPLETON ST,169.0-0007-0009.0
2020,101  - One Family,227600,0,383200,"4,248.00",0.0,610800,13075,244 APPLETON ST,169.0-0007-0009.0
2019,101  - One Family,198700,0,383200,"4,248.00",0.0,581900,13075,244 APPLETON ST,169.0-0007-0009.0
2018,101  - One Family,198700,0,323000,"4,248.00",0.0,521700,13075,244 APPLETON ST,169.0-0007-0009.0
2017,101  - One Family,198700,0,295600,"4,248.00",0.0,494300,13075,244 APPLETON ST,169.0-0007-0009.0
2016,101  - One Family,198700,0,251800,"4,248.00",0.0,450500,13075,244 APPLETON ST,169.0-0007-0009.0
2015,101  - One Family,188100,0,219000,"4,248.00",0.0,407100,13075,244 APPLETON ST,169.0-0007-0009.0
2014,101  - One Family,188100,0,202600,"4,248.00",0.0,390700,13075,244 APPLETON ST,169.0-0007-0009.0
2013,101  - One Family,188100,0,192700,"4,248.00",0.0,380800,13075,244 APPLETON ST,169.0-0007-0009.0
2012,101  - One Family,206300,0,175200,"4,248.00",0.0,381500,13075,244 APPLETON ST,169.0-0007-0009.0
2011,101  - One Family,206300,0,175200,"4,248.00",0.0,381500,13075,244 APPLETON ST,169.0-0007-0009.0
2010,101  - One Family,206300,0,175200,"4,248.00",0.0,381500,13075,244 APPLETON ST,169.0-0007-0009.0
2009,101  - One Family,207600,0,176800,"4,248.00",0.0,384400,13075,244 APPLETON ST,169.0-0007-0009.0
2008,101  - One Family,216300,0,176800,"4,248.00",0.0,393100,13075,244 APPLETON ST,169.0-0007-0009.0
2007,101  - One Family,227700,0,186100,"4,248.00",0.0,413800,13075,244 APPLETON ST,169.0-0007-0009.0
2006,101  - One Family,217800,0,150900,"4,248.00",0.0,368700,13075,244 APPLETON ST,169.0-0007-0009.0
2005,101  - One Family,205400,0,147800,"4,248.00",0.0,353200,13075,244 APPLETON ST,169.0-0007-0009.0
2004,101  - One Family,205400,0,147800,"4,248.00",0.0,353200,13075,244 APPLETON ST,169.0-0007-0009.0
2003,101  - One Family,137400,0,120400,"4,248.00",0.0,257800,13075,244 APPLETON ST,169.0-0007-0009.0
2002,101  - One Family,137400,0,109500,"4,248.00",0.0,246900,13075,244 APPLETON ST,169.0-0007-0009.0
2001,101  - One Family,137400,0,109500,"4,248.00",0.0,246900,13075,244 APPLETON ST,169.0-0007-0009.0
2000,101  - One Family,88300,0,86600,0.10,0.0,174900,13075,244 APPLETON ST,169.0-0007-0009.0
1999,101  - One Family,88300,0,86600,,0.0,174900,13075,244 APPLETON ST,169.0-0007-0009.0
1998,101  - One Family,88300,0,78800,,0.0,167100,13075,244 APPLETON ST,169.0-0007-0009.0
1997,101  - One Family,83100,0,70900,,0.0,154000,13075,244 APPLETON ST,169.0-0007-0009.0
1996,101  - One Family,83100,0,70900,,0.0,154000,13075,244 APPLETON ST,169.0-0007-0009.0
1995,101  - One Family,83100,0,70900,,0.0,154000,13075,244 APPLETON ST,169.0-0007-0009.0
1994,101  - One Family,76400,0,69500,,0.0,145900,13075,244 APPLETON ST,169.0-0007-0009.0
1993,101  - One Family,76400,0,69500,,0.0,145900,13075,244 APPLETON ST,169.0-0007-0009.0
1992,101  - One Family,78800,0,71700,,0.0,150500,13075,244 APPLETON ST,169.0-0007-0009.0
2026,101  - One Family,508700,0,477300,"4,500.00",0.0,986000,13956,295 APPLETON ST,178.0-0001-0004.0
2025,101  - One Family,506600,0,455100,"4,500.00",0.0,961700,13956,295 APPLETON ST,178.0-0001-0004.0
2024,101  - One Family,487100,0,455100,"4,500.00",0.0,942200,13956,295 APPLETON ST,178.0-0001-0004.0
2023,101  - One Family,432200,0,405100,"4,500.00",0.0,837300,13956,295 APPLETON ST,178.0-0001-0004.0
2022,101  - One Family,371800,0,388500,"4,500.00",0.0,760300,13956,295 APPLETON ST,178.0-0001-0004.0
2021,101  - One Family,303300,0,388500,"4,500.00",0.0,691800,13956,295 APPLETON ST,178.0-0001-0004.0
2020,101  - One Family,303500,0,388500,"4,500.00",0.0,692000,13956,295 APPLETON ST,178.0-0001-0004.0
2019,101  - One Family,258900,0,388500,"4,500.00",0.0,647400,13956,295 APPLETON ST,178.0-0001-0004.0
2018,101  - One Family,239400,0,327500,"4,500.00",0.0,566900,13956,295 APPLETON ST,178.0-0001-0004.0
2017,101  - One Family,239400,0,299700,"4,500.00",0.0,539100,13956,295 APPLETON ST,178.0-0001-0004.0
2016,101  - One Family,239400,0,255300,"4,500.00",0.0,494700,13956,295 APPLETON ST,178.0-0001-0004.0
2015,101  - One Family,226900,0,222000,"4,500.00",0.0,448900,13956,295 APPLETON ST,178.0-0001-0004.0
2014,101  - One Family,224000,0,205400,"4,500.00",0.0,429400,13956,295 APPLETON ST,178.0-0001-0004.0
2013,101  - One Family,224000,0,195400,"4,500.00",0.0,419400,13956,295 APPLETON ST,178.0-0001-0004.0
2012,101  - One Family,248400,0,177600,"4,500.00",0.0,426000,13956,295 APPLETON ST,178.0-0001-0004.0
2011,101  - One Family,248400,0,177600,"4,500.00",0.0,426000,13956,295 APPLETON ST,178.0-0001-0004.0
2010,101  - One Family,219000,0,177600,"4,500.00",0.0,396600,13956,295 APPLETON ST,178.0-0001-0004.0
2009,101  - One Family,229500,0,179300,"4,500.00",0.0,408800,13956,295 APPLETON ST,178.0-0001-0004.0
2008,101  - One Family,239000,0,179300,"4,500.00",0.0,418300,13956,295 APPLETON ST,178.0-0001-0004.0
2007,101  - One Family,262800,0,188700,"4,500.00",0.0,451500,13956,295 APPLETON ST,178.0-0001-0004.0
2006,101  - One Family,265200,0,153000,"4,500.00",0.0,418200,13956,295 APPLETON ST,178.0-0001-0004.0
2005,101  - One Family,250200,0,149900,"4,500.00",0.0,400100,13956,295 APPLETON ST,178.0-0001-0004.0
2004,101  - One Family,250200,0,149900,"4,500.00",0.0,400100,13956,295 APPLETON ST,178.0-0001-0004.0
2003,101  - One Family,169000,0,122100,"4,500.00",0.0,291100,13956,295 APPLETON ST,178.0-0001-0004.0
2002,101  - One Family,169000,0,111000,"4,500.00",0.0,280000,13956,295 APPLETON ST,178.0-0001-0004.0
2001,101  - One Family,169000,0,111000,"4,500.00",0.0,280000,13956,295 APPLETON ST,178.0-0001-0004.0
2000,101  - One Family,97100,0,89100,0.10,0.0,186200,13956,295 APPLETON ST,178.0-0001-0004.0
1999,101  - One Family,97100,0,89100,,0.0,186200,13956,295 APPLETON ST,178.0-0001-0004.0
1998,101  - One Family,97100,0,81000,,0.0,178100,13956,295 APPLETON ST,178.0-0001-0004.0
1997,101  - One Family,92000,0,72900,,0.0,164900,13956,295 APPLETON ST,178.0-0001-0004.0
1996,101  - One Family,92000,0,72900,,0.0,164900,13956,295 APPLETON ST,178.0-0001-0004.0
1995,101  - One Family,92000,0,72900,,0.0,164900,13956,295 APPLETON ST,178.0-0001-0004.0
1994,101  - One Family,84400,0,70700,,0.0,155100,13956,295 APPLETON ST,178.0-0001-0004.0
1993,101  - One Family,84400,0,70700,,0.0,155100,13956,295 APPLETON ST,178.0-0001-0004.0
1992,101  - One Family,87000,0,72900,,0.0,159900,13956,295 APPLETON ST,178.0-0001-0004.0
2026,101  - One Family,336400,0,527700,"6,454.00",0.0,864100,13065,247 APPLETON ST,169.0-0006-0002.0
2025,101  - One Family,341200,0,503200,"6,454.00",0.0,844400,13065,247 APPLETON ST,169.0-0006-0002.0
2024,101  - One Family,311500,0,503200,"6,454.00",0.0,814700,13065,247 APPLETON ST,169.0-0006-0002.0
2023,101  - One Family,298100,0,447900,"6,454.00",0.0,746000,13065,247 APPLETON ST,169.0-0006-0002.0
2022,101  - One Family,269100,0,429500,"6,454.00",0.0,698600,13065,247 APPLETON ST,169.0-0006-0002.0
2021,101  - One Family,261100,0,429500,"6,454.00",0.0,690600,13065,247 APPLETON ST,169.0-0006-0002.0
2020,101  - One Family,261100,0,429500,"6,454.00",0.0,690600,13065,247 APPLETON ST,169.0-0006-0002.0
2019,101  - One Family,206200,0,429500,"6,454.00",0.0,635700,13065,247 APPLETON ST,169.0-0006-0002.0
2018,101  - One Family,208800,0,362000,"6,454.00",0.0,570800,13065,247 APPLETON ST,169.0-0006-0002.0
2017,101  - One Family,208800,0,331400,"6,454.00",0.0,540200,13065,247 APPLETON ST,169.0-0006-0002.0
2016,101  - One Family,208800,0,282300,"6,454.00",0.0,491100,13065,247 APPLETON ST,169.0-0006-0002.0
2015,101  - One Family,197100,0,245400,"6,454.00",0.0,442500,13065,247 APPLETON ST,169.0-0006-0002.0
2014,101  - One Family,197100,0,227000,"6,454.00",0.0,424100,13065,247 APPLETON ST,169.0-0006-0002.0
2013,101  - One Family,197100,0,216000,"6,454.00",0.0,413100,13065,247 APPLETON ST,169.0-0006-0002.0
2012,101  - One Family,222400,0,196400,"6,454.00",0.0,418800,13065,247 APPLETON ST,169.0-0006-0002.0
2011,101  - One Family,222400,0,196400,"6,454.00",0.0,418800,13065,247 APPLETON ST,169.0-0006-0002.0
2010,101  - One Family,222400,0,196400,"6,454.00",0.0,418800,13065,247 APPLETON ST,169.0-0006-0002.0
2009,101  - One Family,202200,0,198200,"6,454.00",0.0,400400,13065,247 APPLETON ST,169.0-0006-0002.0
2008,101  - One Family,210600,0,198200,"6,454.00",0.0,408800,13065,247 APPLETON ST,169.0-0006-0002.0
2007,101  - One Family,221700,0,208600,"6,454.00",0.0,430300,13065,247 APPLETON ST,169.0-0006-0002.0
2006,101  - One Family,211800,0,169100,"6,454.00",0.0,380900,13065,247 APPLETON ST,169.0-0006-0002.0
2005,101  - One Family,208700,0,165700,"6,454.00",0.0,374400,13065,247 APPLETON ST,169.0-0006-0002.0
2004,101  - One Family,208700,0,165700,"6,454.00",0.0,374400,13065,247 APPLETON ST,169.0-0006-0002.0
2003,101  - One Family,149600,0,135000,"6,454.00",0.0,284600,13065,247 APPLETON ST,169.0-0006-0002.0
2002,101  - One Family,149600,0,122700,"6,454.00",0.0,272300,13065,247 APPLETON ST,169.0-0006-0002.0
2001,101  - One Family,149600,0,122700,"6,454.00",0.0,272300,13065,247 APPLETON ST,169.0-0006-0002.0
2000,101  - One Family,83500,0,101600,0.15,0.0,185100,13065,247 APPLETON ST,169.0-0006-0002.0
1999,101  - One Family,83500,0,101600,,0.0,185100,13065,247 APPLETON ST,169.0-0006-0002.0
1998,101  - One Family,83500,0,92400,,0.0,175900,13065,247 APPLETON ST,169.0-0006-0002.0
1997,101  - One Family,78500,0,83100,,0.0,161600,13065,247 APPLETON ST,169.0-0006-0002.0
1996,101  - One Family,78500,0,83100,,0.0,161600,13065,247 APPLETON ST,169.0-0006-0002.0
1995,101  - One Family,78500,0,83100,,0.0,161600,13065,247 APPLETON ST,169.0-0006-0002.0
1994,101  - One Family,87900,0,81100,,0.0,169000,13065,247 APPLETON ST,169.0-0006-0002.0
1993,101  - One Family,87900,0,81100,,0.0,169000,13065,247 APPLETON ST,169.0-0006-0002.0
1992,101  - One Family,90600,0,83600,,0.0,174200,13065,247 APPLETON ST,169.0-0006-0002.0
2026,101  - One Family,757600,0,885600,"21,085.00",0.0,1643200,14126,472 APPLETON ST,179.0-0006-0022.0
2025,101  - One Family,709500,0,843400,"21,085.00",0.0,1552900,14126,472 APPLETON ST,179.0-0006-0022.0
2024,101  - One Family,667200,0,811800,"21,085.00",0.0,1479000,14126,472 APPLETON ST,179.0-0006-0022.0
2023,101  - One Family,549400,0,759100,"21,085.00",0.0,1308500,14126,472 APPLETON ST,179.0-0006-0022.0
