OBJECTID,addrptid,FullAddNum,RoadName,FullAddr,NumPoints,PointType,LUC,parcel_id,loc_id,Notes,AddrStatus,last_edited_user,last_edited_date,GlobalID,lng,lat
3181,ADDR-5928,88,OVERLOOK RD,88 OVERLOOK RD,1,Residential,101,093.0-0002-0010.0,F_745016_2981388,,Current,,,cc4d294d-8287-44ee-8140-bdc87d762d96,-71.17083171673238,42.42857206590814
3182,ADDR-5929,92,OVERLOOK RD,92 OVERLOOK RD,1,Residential,101,093.0-0002-0011.0,F_745044_2981426,,Current,,,3fba674f-9473-412b-bed2-151c19b1b988,-71.17072123738647,42.42868657502476
3183,ADDR-5930,96,OVERLOOK RD,96 OVERLOOK RD,1,Residential,101,093.0-0002-0012.0,F_745071_2981464,,Current,,,54a295b3-bd6f-4cca-a294-11fa5aec62bc,-71.17062123748572,42.42879157384491
3184,ADDR-5931,100,OVERLOOK RD,100 OVERLOOK RD,1,Residential,101,093.0-0002-0013.0,F_745098_2981504,,Current,,,848ffadb-6268-41a7-a8a6-edaae1010866,-71.1705063253296,42.428910066371344
3185,ADDR-5932,104,OVERLOOK RD,104 OVERLOOK RD,1,Residential,101,093.0-0002-0014.0,F_745127_2981562,,Current,,,2031748a-689c-44b2-b4ae-71e3514f8b3f,-71.17052563137149,42.429115683106296
3186,ADDR-5933,118,OVERLOOK RD,118 OVERLOOK RD,1,Residential,101,093.0-0003-0001.0,F_745208_2981647,,Current,,,fa10280d-9a82-4ff0-8bf9-fc885fc65048,-71.17016963159686,42.429326682956514
3187,ADDR-5934,122,OVERLOOK RD,122 OVERLOOK RD,1,Residential,101,093.0-0003-0002.0,F_745235_2981703,,Current,,,9aa9b6b1-07c6-4669-9335-fdfd78a6934b,-71.17002989029125,42.42945379237844
3188,ADDR-5935,126,OVERLOOK RD,126 OVERLOOK RD,1,Residential,101,093.0-0003-0003.0,F_745264_2981744,,Current,,,931f3e8e-c99d-4b90-95ac-96d23d288050,-71.16990653262363,42.42955245593912
3189,ADDR-5936,35,OVERLOOK RD,35 OVERLOOK RD,1,Residential,101,093.0-0004-0001.0,F_744803_2980818,,Current,,,57f51383-0cda-4752-9393-9d6eb9c8f00e,-71.17179878987642,42.42711612416631
3190,ADDR-5938,45,OVERLOOK RD,45 OVERLOOK RD,1,Residential,101,093.0-0004-0003.0,F_744854_2980892,,Current,,,d2c0c9ab-7ce3-4f9a-8f50-13fc4e3b4b0a,-71.17158206844826,42.4273170507329
3191,ADDR-5939,49,OVERLOOK RD,49 OVERLOOK RD,1,Residential,101,093.0-0004-0004.0,F_744879_2980928,,Current,,,0cc84b38-a512-49b3-a425-eaf350a7fcd4,-71.17148911804465,42.42740752296228
3192,ADDR-5940,51,OVERLOOK RD,51 OVERLOOK RD,1,Residential,101,093.0-0004-0005.0,F_744905_2980965,,Current,,,17a312b3-4d47-443b-aa31-9b3c064b1fbf,-71.17139111761892,42.42750652337262
3193,ADDR-5941,55,OVERLOOK RD,55 OVERLOOK RD,1,Residential,101,093.0-0004-0006.0,F_744930_2981001,,Current,,,0bcd18fe-1d69-4ae7-ad0f-4a9475abd82b,-71.17130452307471,42.42761130539089
3194,ADDR-5942,59,OVERLOOK RD,59 OVERLOOK RD,1,Residential,101,093.0-0004-0007.0,F_744957_2981039,,Current,,,b82e3acb-058b-4449-bf5c-78557ea86e0e,-71.1712055233367,42.42771330519049
3195,ADDR-5943,63,OVERLOOK RD,63 OVERLOOK RD,1,Residential,101,093.0-0004-0008.0,F_744983_2981076,,Current,,,08ad4ea1-4fe6-429c-a7c2-aa4d76229823,-71.1711085486425,42.42780954175244
3196,ADDR-5944,67,OVERLOOK RD,67 OVERLOOK RD,1,Residential,101,093.0-0004-0009.0,F_745008_2981113,,Current,,,b58da30a-cad1-49e2-b954-5b71e48ecead,-71.17101657232882,42.427907777610784
3197,ADDR-5945,73,OVERLOOK RD,73 OVERLOOK RD,1,Residential,101,093.0-0004-0010.0,F_745047_2981166,,Current,,,ed0e676b-fc1e-4ae2-b70c-fd4fcc2cd558,-71.170794631846,42.428009682277526
3198,ADDR-5946,83,OVERLOOK RD,83 OVERLOOK RD,1,Residential,101,093.0-0004-0013.0,F_745107_2981231,,Current,,,749646a8-7086-4c62-9fc5-3e813cc1a771,-71.17061274069785,42.42830665293463
3199,ADDR-5947,87,OVERLOOK RD,87 OVERLOOK RD,1,Residential,101,093.0-0004-0014.0,F_745129_2981301,,Current,,,0f12194e-611e-426c-bf92-0f98a021e063,-71.17053650630523,42.42843513481833
3200,ADDR-5948,93,OVERLOOK RD,93 OVERLOOK RD,1,Residential,101,093.0-0004-0015.0,F_745157_2981340,,Current,,,fa5f3a09-93bb-4cf2-92d3-28ec5874ab03,-71.1704393118344,42.428523006661926
3201,ADDR-5949,97,OVERLOOK RD,97 OVERLOOK RD,1,Residential,101,093.0-0004-0016.0,F_745182_2981391,,Current,,,123658ce-41f9-4217-9ad4-5961470b4333,-71.17033250256895,42.42859917348169
3202,ADDR-5950,226,WASHINGTON ST,226 WASHINGTON ST,1,Residential,101,093.0-0004-0017.0,F_745202_2981281,,Current,,,f3055e8e-81fd-4a3f-8340-cad66d5910e8,-71.17017462359509,42.42836424220857
3203,ADDR-5951,220,WASHINGTON ST,220 WASHINGTON ST,1,Residential,101,093.0-0004-0018.0,F_745224_2981234,,Current,,,2a1f8043-d441-4827-85da-efe77114f5d6,-71.17010345136323,42.42819467936304
3204,ADDR-5952,74,RONALD RD,74 RONALD RD,1,Residential,101,093.0-0004-0019.0,F_745231_2981181,,Current,,,ad8218f4-93d8-43b7-8923-a2fbb7b2b367,-71.17007863753459,42.42802973356419
3205,ADDR-5953,70,RONALD RD,70 RONALD RD,1,Residential,101,093.0-0004-0020.0,F_745193_2981145,,Current,,,72268c91-c1e3-470a-b837-cf2ef3644549,-71.17018911506301,42.427934202750215
3206,ADDR-5954,66,RONALD RD,66 RONALD RD,1,Residential,101,093.0-0004-0021.0,F_745155_2981115,,Current,,,26d1c045-efa1-4d2e-b6d4-84b030ed18f4,-71.17029251151018,42.427830237619816
3207,ADDR-5955,58,RONALD RD,58 RONALD RD,1,Residential,101,093.0-0004-0023.0,F_745105_2981045,,Current,,,be3d94c2-3a49-4a5e-910b-d159358f3ab9,-71.17047501818827,42.42762498519564
3208,ADDR-5956,54,RONALD RD,54 RONALD RD,1,Residential,101,093.0-0004-0024.0,F_745082_2981009,,Current,,,8d14288e-f7fa-446f-b85c-8a5fb922e7da,-71.17056942417953,42.42752976812011
3209,ADDR-5957,50,RONALD RD,50 RONALD RD,1,Residential,101,093.0-0004-0025.0,F_745056_2980972,,Current,,,2488bff4-4044-4032-a2ad-7ab4206b9a8f,-71.17065583967802,42.42743064073914
3210,ADDR-5958,46,RONALD RD,46 RONALD RD,1,Residential,101,093.0-0004-0026.0,F_745030_2980934,,Current,,,832769b1-c601-452d-9903-ae74c4ee328b,-71.17077082988881,42.427328550289054
3211,ADDR-5959,42,RONALD RD,42 RONALD RD,1,Residential,101,093.0-0004-0027.0,F_745003_2980897,,Current,,,59e2e8f1-fa76-4fa1-bbce-f696b828b0a3,-71.17084410861068,42.42722847682439
3212,ADDR-5960,38,RONALD RD,38 RONALD RD,1,Residential,101,093.0-0004-0028.0,F_744978_2980860,,Current,,,38563fdf-3c68-4f96-8833-45f6fb42ea1c,-71.17093810852715,42.4271274767393
3213,ADDR-5961,34,RONALD RD,34 RONALD RD,1,Residential,101,093.0-0004-0029.0,F_744953_2980823,,Current,,,475b6717-a901-4d50-92b3-89ae14664c51,-71.1710523997939,42.42702453234929
3214,ADDR-5962,30,RONALD RD,30 RONALD RD,1,Residential,101,093.0-0004-0030.0,F_744926_2980785,,Current,,,cf5d39fc-b31e-4fad-b5dd-d330e2dd3a83,-71.17115039981577,42.426922532511995
3215,ADDR-5963,26,RONALD RD,26 RONALD RD,1,Residential,101,093.0-0004-0031.0,F_744900_2980750,,Current,,,742ce4ae-3502-48be-bbbc-ac7603165574,-71.17124640058142,42.42682753189002
3216,ADDR-5964,125,OVERLOOK RD,125 OVERLOOK RD,1,Residential,101,093.0-0005-0001.0,F_745392_2981656,,Current,,,9911320c-4276-461e-a0af-614462cfd3db,-71.16961665082033,42.429407163491
3217,ADDR-5965,121,OVERLOOK RD,121 OVERLOOK RD,1,Residential,101,093.0-0005-0002.0,F_745360_2981612,,Current,,,81fa76b5-d0b3-45ae-b720-b82208de2742,-71.16973012064796,42.429308199992576
3218,ADDR-5966,117,OVERLOOK RD,117 OVERLOOK RD,1,Residential,101,093.0-0005-0003.0,F_745331_2981571,,Current,,,4d71d008-38c5-41a8-b7bb-87cb6b3a470e,-71.16981342374277,42.429189361926475
3219,ADDR-5967,115,OVERLOOK RD,115 OVERLOOK RD,1,Residential,101,093.0-0005-0004.0,F_745303_2981532,,Current,,,9cf7513e-fab8-4ae9-891b-12f3f55fa772,-71.16995509651392,42.42906632301792
3220,ADDR-5968,239,WASHINGTON ST,239 WASHINGTON ST,1,Residential,101,093.0-0005-0005.0,F_745265_2981477,,Current,,,9bd412a1-bee0-4c57-9fe1-699f1936732f,-71.17000057320101,42.42885612944283
3221,ADDR-5969,231,WASHINGTON ST,231 WASHINGTON ST,1,Residential,101,093.0-0005-0006.0,F_745301_2981421,,Current,,,6a3213b1-2380-40d7-8e06-2b0c9a21e998,-71.16983263113585,42.42869268277493
3222,ADDR-5970,88,RONALD RD,88 RONALD RD,1,Residential,101,093.0-0005-0007.0,F_745316_2981312,,Current,,,b9d097d3-cf09-425d-8886-c9965e525ef6,-71.16976492642496,42.428454067205756
3223,ADDR-5971,92,RONALD RD,92 RONALD RD,1,Residential,101,093.0-0005-0008.0,F_745347_2981368,,Current,,,279cf0c2-33e1-44f6-b0a5-c373417b4873,-71.16963276799358,42.42853097001358
3224,ADDR-5972,96,RONALD RD,96 RONALD RD,1,Residential,101,093.0-0005-0009.0,F_745372_2981404,,Current,,,61ba856f-ec48-4510-acc6-16d63734401b,-71.16951250242305,42.42862417289855
3225,ADDR-5973,100,RONALD RD,100 RONALD RD,1,Residential,101,093.0-0005-0010.0,F_745393_2981443,,Current,,,e610d717-a843-4386-9b2a-fb381ec16427,-71.1694285481006,42.4287255976576
3226,ADDR-5974,104,RONALD RD,104 RONALD RD,1,Residential,101,093.0-0005-0011.0,F_745414_2981481,,Current,,,b0a57598-b796-488c-8a92-16b9a7b51ba2,-71.16932571159874,42.42882279266997
3227,ADDR-5975,108,RONALD RD,108 RONALD RD,1,Residential,101,093.0-0005-0012.0,F_745440_2981517,,Current,,,9c5a8114-bd83-479c-b9aa-5bb53fefdcdc,-71.1692363833855,42.428927389710125
3228,ADDR-5976,112,RONALD RD,112 RONALD RD,1,Residential,101,093.0-0005-0013.0,F_745465_2981553,,Current,,,4ec5be8a-d30e-4134-88b1-53b737f0b4c2,-71.16914236833776,42.42903024739232
3229,ADDR-5977,116,RONALD RD,116 RONALD RD,1,Residential,101,093.0-0005-0014.0,F_745491_2981591,,Current,,,4a88782a-acc2-41a7-9e6a-8d78a17d732b,-71.16905080301683,42.429133312797845
3230,ADDR-5978,120,RONALD RD,120 RONALD RD,1,Residential,101,093.0-0005-0015.0,F_745517_2981628,,Current,,,1888673b-ed40-48de-9870-d6c49c15b6b5,-71.16896480342236,42.429233313405064
3231,ADDR-5979,31,RONALD RD,31 RONALD RD,1,Residential,101,093.0-0006-0001.0,F_745055_2980690,,Current,,,c9e307bd-8b62-448c-9947-676b2fd1dd61,-71.17084543690865,42.42677050284493
3232,ADDR-5980,35,RONALD RD,35 RONALD RD,1,Residential,101,093.0-0006-0002.0,F_745084_2980732,,Current,,,df8f9738-7e86-47cd-a731-1e414d0f585b,-71.17074880570026,42.42687328777692
3233,ADDR-5981,39,RONALD RD,39 RONALD RD,1,Residential,101,093.0-0006-0003.0,F_745110_2980768,,Current,,,18fde684-115a-4477-bce4-c048f97a5bd9,-71.17065380472808,42.42697028854669
3234,ADDR-5982,43,RONALD RD,43 RONALD RD,1,Residential,101,093.0-0006-0004.0,F_745136_2980806,,Current,,,d01db4a1-df16-4f1e-9ad8-26c96baee1f5,-71.17055580590714,42.42707328816716
3235,ADDR-5983,47,RONALD RD,47 RONALD RD,1,Residential,101,093.0-0006-0005.0,F_745160_2980842,,Current,,,c3313e82-d55d-4dd0-8672-bf9b20120fbb,-71.1704658046584,42.427174288584695
3236,ADDR-5984,51,RONALD RD,51 RONALD RD,1,Residential,101,093.0-0006-0006.0,F_745186_2980879,,Current,,,65c6ee33-1dba-43b3-ac4f-ed84e01592c4,-71.17036980527469,42.427274288661636
